ID,trait1
Sample702,207.33
Sample703,205.51
Sample704,218.91
Sample705,226.14
Sample706,215.13
Sample707,221.04
Sample708,190.01
Sample709,210.26
Sample710,179.63
Sample711,166.26
Sample712,198.58
Sample713,230.4
Sample714,192.32
Sample715,194.3
Sample716,224.22
Sample717,203.24
Sample718,224.77
Sample719,212.93
Sample720,208.66
Sample721,213.02
Sample722,186.3
Sample723,229.47
Sample724,229.85
Sample725,182.04
Sample726,181.0
Sample727,224.08
Sample728,199.84
Sample729,210.92
Sample730,215.76
Sample731,223.63
Sample732,212.79
Sample733,203.16
Sample734,231.61
Sample735,233.94
Sample736,217.92
Sample737,225.83
Sample738,214.04
Sample739,225.73
Sample740,176.59
Sample741,180.49
Sample742,226.76
Sample743,181.41
Sample744,212.97
Sample745,198.44
Sample746,207.99
Sample747,214.35
Sample748,200.24
Sample749,181.75
Sample750,177.61
Sample751,229.23
Sample752,201.43
Sample753,233.32
Sample754,235.88
Sample755,196.67
Sample756,206.81
Sample757,205.06
Sample758,257.28
Sample759,188.8
Sample760,210.81
Sample761,200.95
Sample762,252.95
Sample763,210.46
Sample764,205.76
Sample765,206.57
Sample766,210.23
Sample767,227.19
Sample768,208.12
Sample769,227.27
Sample770,210.8628519061584
Sample771,232.86
Sample772,245.76
Sample773,229.68
Sample774,247.17
Sample775,188.68
Sample776,201.65
Sample777,228.72
Sample778,206.38
Sample779,218.1
Sample780,223.51
Sample781,262.6
Sample782,189.09
Sample783,244.54
Sample784,210.8628519061584
Sample785,215.65
Sample786,230.98
Sample787,170.31
Sample788,194.53
Sample789,265.6
Sample790,266.05
Sample791,210.11
Sample792,238.36
Sample793,205.53
Sample794,225.97
Sample795,210.8628519061584
Sample796,213.94
Sample797,183.14
Sample798,205.04
Sample799,198.45
Sample800,207.84
Sample801,208.25
Sample802,196.43
Sample803,205.65
Sample804,217.18
Sample805,232.38
Sample806,181.81
Sample807,236.11
Sample808,224.82
Sample809,213.49
Sample810,222.68
Sample811,197.97
Sample812,204.02
Sample813,211.57
Sample814,237.04
Sample815,172.19
Sample816,189.22
Sample817,169.44
Sample818,208.29
Sample819,220.34
Sample820,216.2
Sample821,186.72
Sample822,227.98
Sample823,238.47
Sample824,234.38
Sample825,198.03
Sample826,214.0
Sample827,179.35
Sample828,243.07
Sample829,232.07
Sample830,250.22
Sample831,222.18
Sample832,207.68
Sample833,210.4
Sample834,247.33
Sample835,209.97
Sample836,202.86
Sample837,210.8628519061584
Sample838,225.8
Sample839,222.18
Sample840,207.06
Sample841,197.54
Sample842,220.88
Sample843,239.81
Sample844,211.04
Sample845,194.91
Sample846,213.59
Sample847,246.08
Sample848,228.95
Sample849,283.25
Sample850,178.06
Sample851,232.52
Sample852,212.49
Sample853,219.77
Sample854,245.55
Sample855,206.04
Sample856,204.78
Sample857,232.51
Sample858,202.43
Sample859,199.94
Sample860,162.89
Sample861,145.98
Sample862,221.38
Sample863,175.83
Sample864,209.49
Sample865,174.69
Sample866,215.88
Sample867,212.4
Sample868,211.52
Sample869,214.55
Sample870,221.72
Sample871,229.78
Sample872,199.78
Sample873,198.94
Sample874,200.27
Sample875,220.96
Sample876,238.66
Sample877,220.32
Sample878,211.56
Sample879,239.31
Sample880,177.24
Sample881,210.08
Sample882,213.75
Sample883,220.41
Sample884,220.32
Sample885,195.42
Sample886,216.28
Sample887,207.03
Sample888,214.79
Sample889,222.82
Sample890,195.88
Sample891,221.51
Sample892,232.57
Sample893,242.42
Sample894,215.58
Sample895,228.8
Sample896,232.79
Sample897,219.03
Sample898,237.24
Sample899,218.99
Sample900,233.59
Sample901,221.2
Sample902,260.58
Sample903,191.0
Sample904,195.49
Sample905,197.24
Sample906,233.92
Sample907,201.69
Sample908,191.23
Sample909,238.18
Sample910,211.37
Sample911,224.27
Sample912,206.81
Sample913,217.0
Sample914,175.51
Sample915,208.16
Sample916,203.05
Sample917,178.5
Sample918,218.19
Sample919,273.61
Sample920,220.19
Sample921,206.4
Sample922,227.5
Sample923,213.71
Sample924,205.61
Sample925,238.7
Sample926,192.58
Sample927,210.8628519061584
Sample928,236.22
Sample929,174.7
Sample930,175.48
Sample931,184.61
Sample932,185.97
Sample933,187.36
Sample934,215.55
Sample935,224.68
Sample936,206.2
Sample937,211.18
Sample938,198.74
Sample939,225.24
Sample940,195.6
Sample941,213.35
Sample942,228.52
Sample943,199.57
Sample944,204.25
Sample945,209.67
Sample946,197.58
Sample947,201.34
Sample948,218.79
Sample949,208.35
Sample950,202.06
Sample951,209.09
Sample952,217.91
Sample953,212.4
Sample954,197.81
Sample955,198.01
Sample956,215.75
Sample957,200.82
Sample958,208.52
Sample959,213.23
Sample960,194.02
Sample961,185.59
Sample962,237.46
Sample963,215.24
Sample964,185.4
Sample965,198.74
Sample966,213.91
Sample967,198.75
Sample968,226.91
Sample969,249.46
Sample970,208.4
Sample971,198.24
Sample972,193.88
Sample973,182.96
Sample974,188.96
Sample975,181.79
Sample976,227.77
Sample977,210.38
Sample978,214.73
Sample979,220.12
Sample980,234.35
Sample981,195.59
Sample982,207.93
Sample983,201.55
Sample984,232.73
Sample985,197.2
Sample986,259.64
Sample987,201.1
Sample988,220.2
Sample989,181.2
Sample990,195.97
Sample991,201.45
Sample992,185.76
Sample993,218.14
Sample994,204.3
Sample995,223.12
Sample996,219.28
Sample997,180.28
Sample998,202.54
Sample999,222.43
Sample1000,222.74
